State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Telangana,Warangal,"Hanmarkonda(Rythu Bazar)","Bhindi(Ladies Finger)",Bhindi,FAQ,14/04/2024,3400,4000,3600
Telangana,Warangal,"Hanmarkonda(Rythu Bazar)",Brinjal,Brinjal,FAQ,14/04/2024,3600,4400,4000
Telangana,Warangal,"Hanmarkonda(Rythu Bazar)",Cabbage,Cabbage,FAQ,14/04/2024,3600,4400,4000
Telangana,Warangal,Warangal,"French Beans (Frasbean)","French Beans (Frasbean)",FAQ,14/04/2024,5500,6000,5750
Telangana,Warangal,Warangal,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,14/04/2024,1200,1600,1400
Tripura,Dhalai,Gandacharra,"Bhindi(Ladies Finger)",Bhindi,FAQ,14/04/2024,4500,5000,4700
Tripura,Dhalai,Gandacharra,"Bitter gourd","Bitter Gourd",FAQ,14/04/2024,4500,5000,4700
Tripura,Dhalai,Kulai,Cucumbar(Kheera),Cucumbar,FAQ,14/04/2024,4000,5000,4500
Tripura,Dhalai,Kulai,"Green Chilli","Green Chilly",FAQ,14/04/2024,8000,9000,8500
Tripura,Dhalai,Kulai,Tomato,Deshi,FAQ,14/04/2024,3600,4000,3800
Tripura,Gomati,Silachhari,"Green Chilli",Other,FAQ,14/04/2024,7000,9000,8000
Tripura,"North Tripura",Dasda,"Green Chilli","Green Chilly",FAQ,14/04/2024,8000,15000,11500
Tripura,Sepahijala,Melaghar,Cucumbar(Kheera),Cucumbar,FAQ,14/04/2024,3000,3800,3500
Tripura,Sepahijala,Melaghar,Fish,Katla(Big),FAQ,14/04/2024,28000,32000,30000
Tripura,Sepahijala,Melaghar,Ridgeguard(Tori),Other,FAQ,14/04/2024,4500,5000,4800
Tripura,"West District",Kamalghat,"Bitter gourd","Bitter Gourd",FAQ,14/04/2024,9800,10500,10000
Tripura,"West District",Kamalghat,Fish,Rahu(Andhra),FAQ,14/04/2024,19500,20500,20000
Tripura,"West District",Mohanpur,Fish,Rahu(Andhra),FAQ,14/04/2024,19500,20500,20000
"Uttar Pradesh",Agra,Achnera,Lemon,Lemon,FAQ,14/04/2024,5960,6040,6000
